raw_text,cleaned_words
"한국 국적의 인물들과, 한국 설화의 것들, 한국의 문화와 한국의 것들이 잔뜩 나오지만 영화의 문법 자체는 디즈니, 소니에서 볼 법한 것들이어서 그 언발란스함이 신기하면서도 퍽 즐거웠다.",한국 국적 인물 한국 설화 한국 문화 한국 잔뜩 문법 자체 디즈니 소니 발란스 신기하다 즐겁다
소니는 항상 스타일이 재밌긴해,소니 항상 스타일 재밌다
한 영화를 가득 채울 수 있는 케이팝의 문화적 힘,가득 문화
뻔한 클리셰라고 생각했지만 생각 외로 재밌고 역시 나의 소다팝,뻔하다 클리셰 외로 재밌다 역시
스토리는 개노잼임 참고하시길,스토리 노잼 참고
골든 나올 때 가사랑 같이 보니까 살짝 전율.,가사 살짝 전율
케데헌 열풍이 왜 불었는지 납득이 된다,열풍 납득
두시간 채 안 되는 아동용 애니메이션 영화에 대단한 서어사를 기대하는 건 불공평한 일일 수 있지만 생각보다 더 얄팍해서 살짝 아쉬웠다 아직 풀어갈 얘기가 많은 걸 수도 있겠죠?,시간 아동 애니메이션 대단하다 어사 기대하다 불공평하다 일일 얄팍하다 살짝 아쉽다 얘기 수도
본편보다 2차 창작물 구경하는게 더 재밌음,창작물 구경 재밌다
"메기강의 출신 덕인지 오리엔탈리즘의 렌즈를 벗고 한국 문화를 그대로 담아냈다. 음악 또한 케이팝 작법에 맞게 만들어졌다. 이를 기반으로 미국 스튜디오 방식으로 제작됐으니, 미국 문화에 익숙한 관객이 봐도, 한국 관객이 봐도 이질감이 적다.",메기 강의 출신 덕인 오리엔탈리즘 렌즈 한국 문화 그대로 음악 또한 작법 기반 미국 스튜디오 방식 제작 미국 문화 익숙하다 한국 질감
이 영화에서 가장 대단한 점은 이런걸 기획한 사람들이 아닐까 싶다,가장 대단하다 기획 사람
애니메이션에서 오래오래 들을 수 있는 노래를 많이 건져서 좋았다.,애니메이션 오래오래 노래
"재밌게 보았지만, 그 정도인가 싶다.",재밌다 정도
내가 어떤 사람이 될 것인지는,사람
완벽한 오프닝과 무당에 대한 해석이 좋았다 작중 케이팝들도 너무 그럴싸하게 세련됨,완벽하다 오프닝 무당 대한 해석 싸하다 세련되다
노래는 좋아...근데 이렇게까지 흥행할 정도는ㅈ아니였어..,노래 흥행 정도
한국에서 만들지 않은 한국인들의 손길이라 더 맛있었다..만 역시 합동 팬싸는 아닌거같아,한국 한국인 손길 맛있다 역시 합동 팬싸
역시 어떤 악기보다 사람 노래 소리가 가장 아릅답다,역시 악기 사람 노래 소리 가장 아릅답다
그냥 노래나 더 불렀으면 좋겠어요,노래
배달타코야끼,배달 타코야끼
기승전결이 깔끔하고 노래도 비주얼도 좋은 기분좋은 느낌,기승 전결 깔끔하다 노래 비주 기분
재밌다!!! 짧은 시간 안에 엄청 꽉 차 있음,재밌다 짧다 시간
뭐야내가이걸왜좋아하고있마이리를소다팝,걸왜 좋아하다 를소
또 보고 싶은 영화는 후하게 점수를 줘야지,보고 점수
한류 열풍의 근거를 아주 화려하고 웅장하게 제시하다,한류 열풍 근거 아주 화려하다 웅장 제시
트렌드를 정복한 콘셉트의 승리.,트렌드 정복 콘셉트 승리
진우가 잘생기고 진우가 잘생기고 노래가 좋음 ㅋㅋ 또 보고 싶진 않음.,진우 잘생기다 진우 잘생기다 노래 보고
"유치하고 수치스럽기 쉬운 주제로 이정도의 완성도라니, 문화에 대한 존중이 느껴진다",유치하다 수치 스럽다 쉽다 주제 정도 완성 문화 대한 존중
인공적인 요소가 강하게 다가옴,인공 요소 강하다
남자노래가 좀더 좋았으면 싶었던,남자 노래 좀더
케이팝이란게 이제 단순한 노래가 아니구나,이란 이제 단순하다 노래
노래는 좋았다 그게 전부이다,노래 그게 전부
"결점, 두려움, 상처에 대한 서사를 보여주는 '노래들'",결점 두려움 상처 대한 서사 노래
두 번 봄. 노래 좋음. 국위선양점수 +1,노래 국위 선양 점수
재밌음. 노래 중독적. 한국 문화가 많이 보여서 좋았다. 전 세계인들이 좋아한다는 영화에 한글이 많이 나오니 기분이 신기하다.,재밌다 노래 중독 한국 문화 세계 좋아하다 한글 나오니 기분 신기하다
가장 탁월한 첨단의 주류(主流).,가장 탁월하다 첨단 주류
몇년 전만 해도 한국 하면 인종차별만 하던 할리우드에서 이런 작품을 만들어주다뇨.. 대체 무슨 일이 있었던 거죠..?,전만 해도 한국 인종차별 할리우드 대체 무슨
목표로 한 모든 것을 성공적으로 보여줬다.,목표 모든 성공
"어린이들 덕에 흥행했던 작품이며, 동시에 한글, 한국,이란 뽕맛에 취할 수 있는 질 좋은 안주",어린이 흥행 동시 한글 한국 이란 뽕맛 취할 안주
진짜 예상보단 훨씬 완성도 있었던 작품. 그러나 잔체적인 스토리의 진행과 작품의 깊이면에선 조금 떨어지는 것 같다.,예상 완성 체적 스토리 진행 깊다 조금
한국여자라면당연히5점줘야겠지,한국 당연하다
피치피치핏치랑 도깨비 섞어놓은 느낌 미국스러운 건 어디서든 티가 난다 노래가 좋았고 걍 클리셰의 연속이라 웃음 나왔음 케이팝을 어떻게 보는지 잘 알 수 있었다 뭐 가볍게 재밌게 본 듯 결국은 상처를 마주하라는 메세지였던거잖아,피치피치핏치 도깨비 미국 어디 서든 노래 클리셰 연속 웃음 가볍다 재밌다 상처 마주
소니 애니메이션은 비주얼 황홀경에 도가 텄다... 잊고있었다 스파이더맨 제작사라는걸...,소니 애니메이션 비주 황홀경 텄다 스파이더맨 제작사 는걸
엘사옷과 형광신발을 신고 등원하는 어린이를 구경하는 맛,엘사 형광 신발 신고 등원 어린이 구경
노래빼고는 유튜브 영상본 듯한,노래 유튜브 영상
케이 팝 보다 더 K스럽다. 세련되고 멋진데,케이 스럽다 세련되다 멋지다
말도 안되는 스토라 전개에도 세계를 흔들 정도의 좋은 사운드트랙,안되다 스토 전개 세계 정도 사운드트랙
진우가 없어도 해낼 수 있어 루미.,진우 루미
루미가 콘서트장에 다시 나타나는 과정이 너무 건너뛰기식이라 아쉬웠다,루미 콘서트장 다시 과정 건너 식이 아쉽다
한참 유행할때 별로 그닥 안땡겨서 안보다가 봤는데..,한참 유행 별로 그닥 안보 다가
"귀는 붙잡고, 이야기는 흘러간다",이야기
식상한 이야기에 식상한 케이팝. 케이팝의 문법이 이렇게 천편일률적이지만은 않다.,식상하다 이야기 식상하다 문법 일률 이지
웃긴 이름으로 태어나 시대를 관통하는 마이 골든 아이돌,이름 시대 관통 마이 아이돌
재밌었는데 보다말다 했다.. 한국의 아름다움을 잔뜩 보여주어서 기뻤고 기대보다 탄탄한 세계관과 좋은 노래에 감명받았지만 뭐라 콕 찝어 설명하기 힘든 아쉬움이 있긴 했다. 마무리가 좀 아쉬운건가? 개연성? 흠…,재밌다 한국 아름답다 잔뜩 기쁘다 기대 탄탄하다 세계관 노래 감명 설명 힘드다 아쉬움 마무리 아쉽다 건가 개연
누가 뭐래도 저는 골든이요,누가
유치한 스토리에 훌륭한 음악,유치하다 스토리 훌륭하다 음악
지루하고 유치함,지루하다 유치하다
미국의 회사에서 낸 한국을 주제로 한 상품에 전 세계가 열광하다,미국 회사 한국 주제 상품 세계 열광하다
깔끔한 이야기를 진심으로 풀어내면 이런 완성도가 나온다는 것을 보여주는 작품. 하나하나 애정과 섬세함이 담겨있는 것을 보고 감탄하면서도 이야기에서 내려버리지 않도록 만드는 흡입력까지. 제작자의 혼을 담은 노력과 사랑이 절실하게 느껴지는 영화.,깔끔하다 이야기 진심 완성 하나 하나 애정 섬세하다 보고 감탄 이야기 흡입 제작자 노력 사랑 절실
사자보이즈 뺨치는 브레인워싱으로 쌓아올린 혼문은 누굴 위한 것인가,사자 보이즈 브레인 워싱 혼문 누굴
잘 만든 콘텐츠의 힘은 대단해,콘텐츠 대단하다
보기 전엔 조이가 귀여웠는데 미라가 호감이다,보기 조이 귀엽다 미라 호감
흥행을 위해 케이팝을 활용해 수상까지 해버린 애니메이션,흥행 위해 활용 수상 애니메이션
애니를 두번 본 건 처음이야 스토리 연출 노래까지 싹다 좋았음,애니 처음 스토리 연출 노래
러닝타임을 2시간 정도로 늘려줄 수는 없었을까? 그만큼 눈과 귀가 너무 즐거웠다,러닝 타임 시간 정도 귀가 즐겁다
재밌게 봤지만 이렇게 성공할 줄은,재밌다 성공하다
아이돌이라는 설정 탓에 음악과 극의 전환이 자연스럽고 전환될 때 묘한 쾌감이 있어서 좋았다.,아이돌 설정 음악 전환 자연스럽다 전환 쾌감
2. Called a problem child cause I got too wild but now that's how I'm getting paid - 세상 모든 ‘유별난’으로 힘들어했던 어른아이에게 바치는 찬가,세상 모든 유별나다 힘들다 찬가
오프닝부터 진심 칼잡고 만들었음이 느껴지는 KDH♡,오프닝 진심 잡고
내용이 멋지고 노래가 감동적이다.,내용 멋지다 노래 감동
단점을 인정하는 건 왜 이렇게 어려울까,단점 인정
"한국 문화와 케이팝 문화를 사랑하는 사람에겐 매력적일수밖에 없는, 한국에 대한 애정이 듬뿍 담겨 있는, 그래서 독창적이고 독보적일 수밖에 없는 애니메이션.",한국 문화 문화 사랑 사람 매력 일수 한국 대한 애정 듬뿍 독창 독보 애니메이션
유치찬란한 소재와 연출로 써내려간 영화가 의외로 재미만큼은 보장한다. 단연 독보적인 건 OST.,유치 찬란하다 소재 연출 재미 보장 단연 독보
신선한 소재의 융합+시대를 잘 타고난,신선하다 소재 융합 시대
이거 생각보다 설정마저 고증이 잘 된 것 같은데.,설정 고증
왜 세계가 열광했는지 이제야..🏆🏆,세계 열광하다 이제야
기획상품에 대한 열광에서 한 발짝 물러나면,기획 상품 대한 열광 발짝
스토리는 그저 그런데 한국 표현이 진짜…👍,스토리 한국 표현
K스럽긴해..노래가 확실히 귀에 박히는듯,스럽다 노래 확실하다
"우선 영화적인 측면에서 보자. 고증은 잘 지켰다. 하지만 고증이 잘 지켜졌다고 그게 명작인 것은 절대 아니다. 고증은 영화의 기본인 거다. 어느 역사 영화든지, 원작 소설 리메이크 영화든지 사실은 지켜지는 것을 베이스로 깔고 있어야 한다(고증을 의도적으로 버리고 재미와 자신이 하고자 하는 메세지를 챙긴 것은 예외다.ex 바스터즈, 설국열차). 문제는 스토리다. 홍보용 영화라고 스토리가 안 지켜지는 것은 가장 큰 문제다. 너무나도 전형적이고 유치해 보이는 애니메이션이다. 그런 고질적인 클리셰를 따르고 문화에 대한 홍보를 얻으려 했다면 의도대로는 된 셈이다. 문제는 이것이 영화라는 것이다. 대중영화이든 예술영화이든 영화는 절대 단순한 홍보의 수단으로 쓰여지면 안 된다. 다른 홍보용 영화를 예시로 레고 무비를 보자. 레고의 고증뿐만 아니라 레고가 담고 있는 철학까지 모두 사로잡았다. 물론 케데현도 결점을 당당하게 여기자는 주제를 담고 있기는 하다. 하지만 그 주제의 알갱이는 너무 작다. 그것을 메인이라고 하기에는 한국이라는 컨셉이 과도하게 넘쳐흐른다. 한국을 알리고자 하는 영화의 의도는 충분히 이해한다. 하지만 왜 이 영화가 꼭 만들어져야 했는지가 의문이다. kpop 문화는 이미 bts랑 블랙핑크로 전에 한참 유행이였다. tv를 틀면 한국 음식을 먹는 외국인들도 쉽게 접할 수가 있다. 관광명소를 소개하기에는 이미 많은 외국인들이 경복궁에 온다.",우선 측면 고증 고증 그게 명작 절대 고증 기본 역사 원작 소설 리메이크 사실 베이스 고증 의도 재미 자신 메세지 예외 바스터즈 설국열차 문제 스토리 홍보 스토리 가장 문제 전형 유치하다 애니메이션 고질 클리셰 문화 대한 홍보 의도 문제 대중 예술 절대 단순하다 홍보 수단 다른 홍보 예시 레고 무비 레고 고증 레고 철학 모두 케데현 결점 당당하다 주제 주제 알갱이 작다 그것 메인 한국 컨셉 과도 넘치다 한국 의도 충분하다 이해 의문 문화 블랙 핑크 한참 유행 한국 음식 외국인 수가 관광명소 소개 외국인 경복궁
내 케이팝 애정과 조은 퀄리티의 애니와 ost 합쳐진 결과나는 돌려볼 수 밖에 없었다,애정 퀄리티 애니 결과
대한민국의 문화에 자부심이 느껴진다,대한민국 문화 자부심
특출난 서사는 아니지만 비주얼과 ost의 조화는 매력적이다,특출나다 서사 비주 조화 매력
누가 틀어놓으면 또 보게 되고 노래 흥얼 거리게 되는,누가 노래 흥얼 거리
케이팝이 너무좋은 외국인 청소년이 즐겁게 쓴 케이팝팬픽,외국인 청소년 즐겁다 팬픽
두근거리는 음악과 함께 처음부터 끝까지 흥미롭게 달린다.,두근거리다 음악 처음 흥미롭다 달린다
노래가 좋아~~,노래
의리로 보기 시작함 근데 의리 아니더라도 볼만함! 오글거리는 거에 민감한데 생각보다 안 그렇고  재밌습니다 그리고 내용도 잘 만들었음…,의리 보기 시작 의리 민감하다 재밌다 내용
이제 노래뿐 아니라 애니메이션으로도 케이팝이 구현된다.,이제 노래 애니메이션 구현
사자보이즈 노래가 좋아서 왜 사람들이 홀리는 지 알것 같아.,사자 보이즈 노래 사람 홀리
예상을 깨고? 의 수준을 걍 넘어버릴만큼 갓작이었음. pc주의자들이 매번 소재로 개지랄떨면서 그토록 보고싶어한게 뭔지 이제 알아버렸단거임.,예상 수준 작다 주의자 매번 소재 지랄 이제 거임
생각없이 봤는데 뭔가가 뭔가 완성도가 높아,뭔가 뭔가 완성 높다
이깟 애니가 뭐가 좋아...위고잉업업업이츠아워모먼트,애니 위고 잉업업업이츠 모먼트
ㄹㅇ 케이팝이었으면 싹 다 논란감이야 너네!!,논란
귀에 박히는 노래는 지금이 우리의 순간임을 알려준다,노래 지금 우리 순간
K-컬쳐의 축복,컬쳐 축복
"서울에서 5세에 캐나다로 이민간 아이돌 1세대 팬덤에 속한 한국계 캐나다인 감독과 소니픽쳐스, 컬럼비아, 넷플릭스 등 강력한 미국영화 제작사의 자본으로 완성한 로컬리즘을 버무린 깔끔한 프렌차이즈 맛의 향연, 감각적이고 재빠르게 디즈니에 앞섰다.",서울 캐나다 민간 아이돌 세대 팬덤 한국 캐나다인 픽쳐스 컬럼비아 넷플릭스 강력하다 미국영화 제작사 자본 완성 로컬 리즘 버무린 깔끔하다 프렌 이즈 향연 감각 재빠르다 디즈니
애들은 재미없으면 안 봐 바보야,재미없다 바보
좋은 노래와 함께 남는 여운,노래 여운
인간의 덕질 심리를 잘 자극 시킨 영화,인간 덕질 심리 자극
"탄탄한 플롯과 뛰어난 음악, 장르에 대한 애정으로 빚어내 유니크한 소재 이슈에 묻히지 않는 웰메이드 장르물",탄탄하다 플롯 뛰어나다 음악 장르 대한 애정 유니크 소재 이슈 메이드 장르
영화를 본 사람들은 누구나 그렇게 생각하겠지만 <메이의 새빨간 비밀>에서의 아이돌 묘사가 훨씬 재밌음(물론 영화도),사람 누구 메이 비밀 아이돌 묘사 재밌다
있는 그대로의 우리를 가장 우리답게 표현할 때,그대로 우리 가장 우리 표현
K에서 연애하는 설정도 가져갔네ㅋㅋ,연애 설정
언제봐도 진짜 잘 만든 영화인거 같음,언제
사실내안에는터음부터케이팝의 피가 흐르고 있음,터음
모두가 꿈을 가지고있지만 그 꿈속엔 말로 못할 노력이있다,모두 꿈속 말로 노력
재밌어서 오늘 첨봤는데 또리랑 저녁에 같이 보고 하루에 3번 보는중ㅋㅋ,재밌다 오늘 또리 저녁 보고 하루
노래는 좋지만 전개가 조금씩 잘린듯한 느낌이 듦,노래 전개
"선과 악, 사랑, 우정, 노래 (케이팝) 부대찌개.",사랑 우정 노래 부대찌개
최고의 K-Pop 장편 애니메이션,최고 장편 애니메이션
한국식 소재를 활용해 입맛을 북돋운 k-할리우드 애니메,한국 소재 활용 입맛 할리우드 애니메
그냥 한국알려줘서 고마운영화,한국 고맙다
"오직 유행을 따라가기 위해 뚝딱 만든 스토리를 엄청나 ""보이기만 하는"" 연출로 덮어버린 쓰레기 만화이자 재미없다고 말하면 바로 사회부적응자로 낙인찍히는 뇌썩믐 치킨조키와 스키비디 토일렛보다 더 지능 떨어지는 최악의 유행.",오직 유행 위해 뚝딱 스토리 엄청나다 연출 쓰레기 화이자 재미없다 바로 회부 적응 뇌썩믐 치킨 스키 토일렛 지능 최악 유행
"뮤비를 보는 듯한 화려함, 그 화려함을 방해하지 않는 단순한 스토리.",뮤비 화려하다 화려하다 방해 단순하다 스토리
노래로 세상을 구한다는게 제법 벅참,노래 세상 제법 벅차다
1시간 30분짜리 짧지만 긴 KPOP 뮤비를 본듯한.,시간 짧다 뮤비
뻔하다고 생각했던 케이팝의 가사들을 이렇게 담대하게 풀어내다니,뻔하다 가사 담대하다
한국에서 나왔으면 …할 부분이 많았을듯 근데 소니가 만들어서 ㅈㄴ 안정적이고 아름답다,한국 부분 소니 안정 아름답다
음악이 너무 좋아서 노래 컬렉션 무한 재생 함,음악 노래 컬렉션 무한 재생
한창 열광적일때 보았어도 좋았겠지만 지금시점에 보고 느낀 것도 정말 좋았다,한창 열광 지금 시점 보고
기형적인 아이돌문화가 낳은 기적,기형 아이돌 문화 기적
단순한 음악이 아닌 문화가 되가는 kpop을 다른 시선으로,단순하다 음악 문화 다른 시선
하나같이 노래가 다좋고 액션까지 화려할 줄이야🤩,노래 액션 화려하다
애니메이션 영화는 어찌보면 음악발사대일지도 모른다.,애니메이션 어찌 음악 발사 대일 지도
생각보다 만듦새가 좋았고 서사도 있었다.,서사
진우 너무 한국형 미남이야ㅠㅠ,진우 한국 미남
"너무 많은 스토리가 편집당해서 읭? 갑자기? 하는 구간이 좀 있지만, 신선해서 좋음.",스토리 편집 당하다 갑자기 구간 신선하다
퇴마 끝나면 설렁탕 말아먹는 여자 아이돌이 나오는 대유쾌마운틴,퇴마 설렁탕 여자 아이돌 유쾌 마운틴
애들 영화에 왜 이 난리야 하다가 하루종일 ost 듣기,난리 하루 종일 듣기
재밌는데 로맨스는 좀 빠져... 눈치없긴...,재밌다 로맨스 눈치
헌트릭스 언니들 진짜 바쁘게 산다. 저 정도 체력 돼야 아이돌 하나봄 ㅋㅋ,트릭 언니 바쁘다 산다 정도 체력 아이돌 하나
근데 노래랑 진우 디자인 진짜 매력적으로 잘 뽑긴한듯,노래 진우 디자인 매력
"한국 전통 무속신앙과 아이돌을 기가막히게 연결시켰네. 비주얼, 사운드, 소재 하나 거를데 없는 독특한 수작.",한국 전통 무속신앙 아이돌 연결 비주 사운드 소재 하나 독특하다 수작
귀에 익은 노래들로 만들어진 뮤지컬을 보는 기분이 이런 거였구나.,노래 뮤지컬 기분
화려함과 익숙함에 홀릴 뻔 했다,화려하다 익숙하다 홀릴
대중적으로 핫하다길래 봤는데 내 취향은 전혀 아니었던,대중 취향 전혀
스포일러가 있어요!!보기,스포일러 보기
즐겁게 채워주는 음악과 입맛에 맞게 풀어낸 글로벌 겨냥 애니.,즐겁다 음악 입맛 글로벌 겨냥 애니
"스토리랄게 있나, 한국 가산점.",스토리 한국 가산
갈리프레이 해협에서 온 박스,갈리프레이 해협 박스
"한국의 일부가 아닌, 한국 그 자체가 컨텐츠여도 손색이 없네",한국 일부 한국 자체 컨텐츠 손색
"외관은 화려하지만, 어딘가 밋밋하다. 영화는 나름대로 케이팝 산업의 어두운 이면을 건드리려 노력한다. 하지만 영화 속 악령은 무엇의 은유인가? 영화는 케이팝의 완벽함을 강요하는 기획사와 사생활이 소멸된 아이돌의 삶, 팬덤의 지나친 독성 등을 연결시키려는 시도를 하지만, 이 연결은 피상적이고 불완전하다. 결국 외부에서 온 악령이라는 존재로 치환되면서 구조적 문제가 개인의 악으로 환원된다. 케이팝이라는 소재와 악마 사냥이라는 장르의 결합이 서사적 필연성을 갖지 못한다. 화려한 껍데기와 평면적인 캐릭터, 그리고 빈약한 알맹이가 모인 작품에 불과하다.",외관 화려하다 어딘가 밋밋하다 나름 산업 두운 이면 노력 악령 무엇 은유 완벽하다 강요 기획사 사생활 소멸 아이돌 팬덤 독성 연결 시도 연결 피상 불완전하다 외부 악령 존재 치환 구조 문제 개인 환원 소재 악마 사냥 장르 결합 사적 필연 화려하다 껍데기 평면 캐릭터 빈약하다 알맹이 불과하다
"신선한 리듬으로 무장한 비주얼 잔치, K-팝의 정체성을 화려한 액션 판타지로 변주해낸 경쾌한 에너지.",신선하다 리듬 무장 비주 잔치 정체 화려하다 액션 판타지 변주 경쾌하다 에너지
스토리전개는 뻔하지만 노래가 좋음,스토리 전개 뻔하다 노래
일단 제 픽은 your idol 입니다,일단
아이코닉 그 자체가 되었지만… 한국인의 입장에서 신파 러브라인 너무 과하고 오글거렸음… 이미 난 로맨스 없이 대박찍은 엘사를 봐버렸는걸.,아이코닉 자체 한국인 입장 신파 러브 라인 로맨스 대박 엘사
눈이 행복해 색이 너무 이쁘고…👍,행복하다 이쁘다
제30회 부산국제영화제 싱얼롱(한국 최초) 및 매기 강 감독님 gv 참석,부산 국제 영화제 싱얼롱 한국 최초 매기 참석
우리의 얼을 가장 뭔가 통용 가능하게 풀어놓은 정말 친절한 영화,우리 가장 뭔가 통용 가능하다 친절하다
이런 흥행이 회날 정도로 재미없다,흥행 회날 정도 재미없다
그냥 시간 때우기용으로 봤는데 생각보다 감동적이고 재미있습니다. k-pop 최고!,시간 기용 감동 재미있다 최고
방탄이랑 블랙핑크인가 했더니 H.O.T와 트와이스였다..,방탄 블랙 핑크 트와이스
너무뻔한 클리셰 시시하게끝난 구마,뻔하다 클리셰 시시하다 구마
교포의 입장에서 말아주는 k문화 모둠코스,교포 입장 문화 코스
음악에 서사가 가려졌지만 재미는 충분했다,음악 서사 재미 충분하다
절묘한 감칠맛. 곧이어 익숙해져 질리더라도.,절묘하다 감칠맛
"LA 북창동 순두부, 묵은지샐러드같은 느낌",창동 순두부 묵은지 샐러드
진우진우팝징우진우팝 루미 루미루미루미 미라미라미라,진우 진우 팝징 우진우 루미 루미 루미 루미 미라 미라 미라
특이한 소재와 익숙한 문법이 맞물려 만들어내는 독특한 설득의 힘,특이하다 소재 익숙하다 문법 독특하다 설득
이제 조카들이랑 말이 통하겠네,이제 조카
"현대판 '나랏말싸미 듕귁에달아'를 못박아버리고, 전 세계에 우리 전통을 수강하게 했다.",대판 나랏말싸미 듕귁 세계 우리 전통 수강
흥행의 이유를 ost에서 찾은 애니메이션.,흥행 이유 애니메이션
노래는 좋지만 내용은....? 보면서 계속 태클 걸게 되는 개연성,노래 내용 계속 태클 개연
국위 선양에 힘써주셔서 감사합니다.,국위 선양
개연성부족이랑 서사부족인 것만 빼면 낫배드함...,개연 부족 부족 배드
겨울왕국 등 10년대 대작 애니의 성공 비결을 최대치로 갈고닦아 내놓은 완성품. 문화의 재현과 변용 모두 최상급인데다 상징적인 장면을 수시로 뽑아내는 제작 기술에 감탄이 나온다. 후반부는 인물들의 배경과 동기에 대한 설명이 미묘하게 부족한 순간이 여럿 있는데 이는 속편을 만들어 보충해야 할 것이다.,겨울왕국 년대 대작 애니 성공 비결 대치 갈고 완성 문화 재현 변용 모두 최상급 상징 장면 제작 기술 감탄 후반 인물 배경 동기 대한 설명 미묘하다 부족하다 순간 여럿 속편 보충
스토리 자체는 별거 없으나 노래가 올려준 점수,스토리 자체 별거 노래 점수
"그저 그런 내용, 누구나 예상 할수있는 전개, 수준 높은 노래",내용 누구 예상 전개 수준 높다 노래
한국을 이해하고 만든 창작자의 유쾌하고 속도감 있는 결과물,한국 이해 창작 자의 유쾌하다 도감 결과물
마이보이스위다웃더라이디씨즈왓잇싸운즈라아어아아아아아잌,마이 보이스 디씨 라아어
한국식 요소를 넣은 애니메이션! 더 좋은 작품이 나오길 기대..,한국 요소 애니메이션 기대
구려 진짜 개구려 아니 그냥 이해가 1도 안감 마치 진짜 설정집은 똥으로 싸갈긴 느낌임 그래도 조이가 너무 좋은건 어쩔수없나?,구려 이해 안감 마치 설정 조이
한국적인 요소만 때려박은 음식물 쓰레기,한국 요소 음식물 쓰레기
이거 재밌게 본 사람이랑 친구 안하고싶음. 골든 듣는 사람이랑 이야기 안할거야,재밌다 사람 친구 사람 이야기
꿈을 노래하며 악몽을 베어 넘긴다,노래 악몽
참신한 소재와 클리셰를 짜깁기한 제법 그럴듯한 기성품,참신하다 소재 클리셰 기한 제법 그럴듯하다 기성품
스토리가 너무 탄탄해서 놀람...,스토리 탄탄하다 놀람
케이팝에 대한 애정이 깊게 담겨진 작품,대한 애정 깊다
딴 건 다 뭐래도 OST의 힘만큼은 막강하다.,막강
재생하고 첫 노래 소설 듣지마자 느꼈다. 이건 끝났다.,재생 노래 소설 마자 이건
그냥 그럭저럭 OST 좋은 킬링타임용,킬링타임
생각보다 더 한국적이고 중독적이다. 유어 마 소다팝. 시리즈성이 강해서 후속작 기다리는 사람들이 많을 듯. 마이 리틀 소다팝. 노래랑 무대를 잘 뽑은 게 무엇보다도 신의 한 수인듯. 호랑이 너무 귀여워. 소다팝.,한국 중독 시리즈 강하다 후속작 사람 마이 리틀 노래 무대 무엇 신의 수인 호랑이 귀엽다
